,date,open,high,low,close,volume,Name,dif
608348,2015-08-24,35.24,37.62,5.4,36.79,4215298,XL,596.6666666666666
267030,2015-08-24,81.54,85.97,43.91,84.31,5482704,HCA,95.78683671145527
115055,2016-02-08,2.56,2.59,1.5,2.04,121984560,CHK,72.66666666666666
595211,2016-02-08,14.93,15.0,10.22,11.16,62368018,WMB,46.77103718199608
115071,2016-03-02,2.62,3.75,2.6,3.4,76288029,CHK,44.230769230769226
115072,2016-03-03,3.37,4.72,3.32,4.27,138475442,CHK,42.16867469879518
595195,2016-01-14,13.42,18.44,13.2401,18.29,42552128,WMB,39.27387255383268
561834,2015-08-24,143.0,163.6,120.38,158.72,2739964,ULTA,35.902973915932876
200076,2015-08-24,70.0,81.98,61.9,70.52,2629176,EQR,32.4394184168013
40274,2013-10-29,47.8,62.05,47.07,47.82,2185959,AME,31.824941576375604
371952,2015-08-24,67.8,72.9,55.54,70.91,13366525,MDT,31.25675189052936
464525,2015-04-08,164.7,215.73,164.632,195.0,17687328,PRGO,31.03770834345691
297473,2015-11-06,116.51,117.92,90.33,100.21,9135512,INCY,30.543562493080927
595194,2016-01-13,16.48,16.54,12.77,13.61,52053559,WMB,29.52231793265466
109054,2015-08-24,104.28,120.2,92.98,113.38,11423906,CELG,29.275112927511287
240875,2015-08-24,12.24,13.48,10.44,13.19,59805935,F,29.118773946360164
33373,2015-08-24,70.03,75.8,58.92,73.1,2515928,ALK,28.649015614392386
115117,2016-05-06,5.52,5.83,4.545,4.59,70168865,CHK,28.272827282728276
115042,2016-01-20,2.86,3.45,2.69,3.32,36875596,CHK,28.252788104089227
408164,2015-08-24,88.75,109.63,85.5,96.88,59951948,NFLX,28.222222222222214
220603,2016-01-11,5.4,5.42,4.23,4.31,117668158,FCX,28.132387706855777
153185,2015-08-24,96.29,104.21,81.37,100.21,13610428,CVS,28.06931301462454
158221,2015-08-24,39.5,44.16,34.61,42.15,15222433,DAL,27.593181161514007
332923,2015-08-24,30.0,34.84,27.32,33.77,14379912,KR,27.52562225475843
115099,2016-04-12,4.84,6.15,4.83,6.05,183964109,CHK,27.329192546583858
53321,2015-08-24,28.94,31.855,25.045,30.46,3692312,AOS,27.191056099021754
595193,2016-01-12,18.93,19.2199,15.19,16.54,49491580,WMB,26.52995391705069
220614,2016-01-27,4.06,5.08,4.02,4.65,96210260,FCX,26.368159203980113
368175,2015-08-24,191.87,202.28,160.1001,197.8,2667911,MCK,26.345954812020732
115073,2016-03-04,4.59,5.43,4.3,5.08,188966428,CHK,26.27906976744186
574412,2015-08-06,48.99,49.5,39.28,44.1,33191205,VIAB,26.018329938900198
243393,2015-08-24,22.84,24.38,19.37,23.87,91236502,GE,25.86473928755807
270807,2015-08-24,110.05,115.88,92.1685,112.54,13983094,HD,25.7262513765549
319678,2015-08-24,59.29,62.92,50.07,60.25,36339089,JPM,25.664070301577794
220604,2016-01-12,4.47,4.58,3.65,4.11,141597285,FCX,25.47945205479453
39639,2016-04-22,3.19,3.99,3.18,3.99,143265305,AMD,25.471698113207548
115065,2016-02-23,2.53,2.71,2.16,2.19,49682202,CHK,25.462962962962955
498791,2015-08-24,48.05,52.67,42.05,50.34,27158813,SBUX,25.255648038049955
93946,2015-08-24,118.65,118.65,94.91,112.33,1154484,BXP,25.013170371931317
36421,2013-07-12,101.51,125.65,100.54,114.26,10846766,ALXN,24.975134274915455
122494,2015-08-24,61.9,63.47,50.84,61.95,9060095,CL,24.84264358772619
289811,2015-05-29,178.62,219.79,176.405,214.65,9938091,HUM,24.59397409370482
470954,2015-10-16,23.06,23.06,18.5101,18.74,24411177,PWR,24.580634356378393
417049,2015-12-04,10.94,10.95,8.805,9.0,28919494,NRG,24.361158432708685
553816,2015-08-24,36.06,40.0,32.2,38.39,3384624,TXT,24.22360248447204
245911,2015-08-24,97.31,106.67,86.0,100.655,25731801,GILD,24.03488372093023
386287,2017-07-28,73.99,74.17,60.01,66.94,54403894,MO,23.596067322112987
444477,2015-08-24,91.58,94.47,76.48,91.83,13366933,PEP,23.522489539748946
378363,2016-02-09,113.08,133.58,108.31,128.88,3226989,MLM,23.33117902317423
115075,2016-03-08,5.05,5.055,4.1,4.3,65203186,CHK,23.292682926829272
